letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,thanks_2.stopped,end.keys,end.rt,end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0022195999044924974,0.005652599968016148,0.005652599968016148,1.0312779999803752,space,1.007602000143379,None,,,,,,,,,,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
A,0,0,0,None,,,0,0,0,0,1.0589266999159008,,,,,,,,,1.0548572998959571,1.0589266999159008,1.2415233999490738,1.2415233999490738,1.2582411000039428,1.9415734999347478,2.7414871000219136,2.725114200031385,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
B,1,1,0,None,,,0,1,1,1,2.7414871000219136,,,,,,,,,2.7292184999678284,2.7414871000219136,2.9415255000349134,2.9415255000349134,2.9415255000349134,3.6414528999011964,4.4415074998978525,4.425077399937436,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
C,2,2,0,None,,,0,2,2,2,4.4415074998978525,,,,,,,,,4.4277552999556065,4.4415074998978525,4.641561399912462,4.641561399912462,4.641561399912462,5.341383199905977,6.141556599875912,6.125090199988335,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
D,3,3,0,None,,,0,3,3,3,6.141556599875912,,,,,,,,,6.129620499908924,6.141556599875912,6.341425799997523,6.341425799997523,6.341425799997523,7.041464800015092,7.841450999956578,7.825014799833298,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
D,4,4,0,space,0.38223069999367,0.10168599989265203,0,4,4,4,7.841450999956578,,,,,,,,,7.825248599983752,7.841450999956578,8.041418999899179,8.041418999899179,8.041418999899179,8.741366500034928,9.541331399930641,9.52496389998123,space,0.38223069999367,0.10168599989265203,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
F,5,5,0,None,,,0,5,5,5,9.541331399930641,,,,,,,,,9.529403999913484,9.541331399930641,9.741472899913788,9.741472899913788,9.741472899913788,10.441525999922305,11.24133350001648,11.224937099963427,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
H,6,6,0,None,,,0,6,6,6,11.24133350001648,,,,,,,,,11.229740499984473,11.24133350001648,11.441357400035486,11.441357400035486,11.441357400035486,12.141318299807608,12.941238399827853,12.92483889986761,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
J,7,7,0,None,,,0,7,7,7,12.941238399827853,,,,,,,,,12.929524000035599,12.941238399827853,13.141371499979869,13.141371499979869,13.141371499979869,13.841416099807248,14.641255799913779,14.624860299983993,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
K,8,8,0,None,,,0,8,8,8,14.641255799913779,,,,,,,,,14.629248299868777,14.641255799913779,14.841284399852157,14.841284399852157,14.841284399852157,15.541349699953571,16.3413670998998,16.32491119997576,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
K,9,9,0,space,0.37453239993192255,0.15220360015518963,0,9,9,9,16.3413670998998,,,,,,,,,16.32522020000033,16.3413670998998,16.54127179994248,16.54127179994248,16.54127179994248,17.2413126998581,18.04134520003572,18.02483979985118,space,0.37453239993192255,0.15220360015518963,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
L,10,10,0,None,,,0,10,10,10,18.04134520003572,,,,,,,,,18.02948459982872,18.04134520003572,18.24131209985353,18.24131209985353,18.24131209985353,18.94112309999764,19.741179900011048,19.724649999989197,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
M,11,11,0,None,,,0,11,11,11,19.741179900011048,,,,,,,,,19.727280699880794,19.741179900011048,19.941139000002295,19.941139000002295,19.941139000002295,20.6410665998701,21.44114109990187,21.42470690002665,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
M,12,12,0,space,0.4349557999521494,0.11181350005790591,0,12,12,12,21.44114109990187,,,,,,,,,21.424917900003493,21.44114109990187,21.64113589981571,21.64113589981571,21.64113589981571,22.341313799843192,23.141264999983832,23.124707899987698,space,0.4349557999521494,0.11181350005790591,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
P,13,13,0,None,,,0,13,13,13,23.141264999983832,,,,,,,,,23.127347599947825,23.141264999983832,23.341063000028953,23.341063000028953,23.341063000028953,24.041095699882135,24.841021599946544,24.82462999993004,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
Q,14,14,0,None,,,0,14,14,14,24.841021599946544,,,,,,,,,24.829044099897146,24.841021599946544,25.04111250001006,25.04111250001006,25.04111250001006,25.74095799983479,26.541038299910724,26.52456339984201,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
R,15,15,0,None,,,0,15,15,15,26.541038299910724,,,,,,,,,26.5297159999609,26.541038299910724,26.74098649993539,26.74098649993539,26.74098649993539,27.44094519992359,28.240925499936566,28.224526799982414,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
R,16,16,0,space,0.4091618999373168,0.13198240008205175,0,16,16,16,28.240925499936566,,,,,,,,,28.224736699834466,28.240925499936566,28.44102599984035,28.44102599984035,28.44102599984035,29.140912799863145,29.94093279982917,29.924461100017652,space,0.4091618999373168,0.13198240008205175,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
T,17,17,0,None,,,0,17,17,17,29.94093279982917,,,,,,,,,29.927123700035736,29.94093279982917,30.141135799931362,30.141135799931362,30.141135799931362,30.840942699927837,31.64090249990113,31.6243939998094,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
V,18,18,0,None,,,0,18,18,18,31.64090249990113,,,,,,,,,31.629088699817657,31.64090249990113,31.84091109992005,31.84091109992005,31.84091109992005,32.54087159992196,33.340845899889246,33.324401799822226,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
W,19,19,0,None,,,0,19,19,19,33.340845899889246,,,,,,,,,33.32698250003159,33.340845899889246,33.540838399901986,33.540838399901986,33.540838399901986,34.240845599910244,35.040870199911296,35.02445929986425,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
W,20,20,0,space,0.3682174999266863,0.15724289999343455,0,20,20,20,35.040870199911296,,,,,,,,,35.02466759993695,35.040870199911296,35.240794099867344,35.240794099867344,35.240794099867344,35.940781799843535,36.74078599992208,36.724299599882215,space,0.3682174999266863,0.15724289999343455,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
X,21,21,0,None,,,0,21,21,21,36.74078599992208,,,,,,,,,36.728726599831134,36.74078599992208,36.94082669983618,36.94082669983618,36.94082669983618,37.64077049982734,38.44074109988287,38.42431529983878,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
Z,22,22,0,None,,,0,22,22,22,38.44074109988287,,,,,,,,,38.42866859980859,38.44074109988287,38.64087120001204,38.64087120001204,38.64087120001204,39.34079819987528,40.14068179996684,40.124229499837384,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
A,23,23,0,None,,,0,23,23,23,40.14068179996684,,,,,,,,,40.12683600001037,40.14068179996684,40.34068170003593,40.34068170003593,40.34068170003593,41.04071390000172,41.840666099917144,41.82432619994506,None,,,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
A,24,24,0,space,0.5410857999231666,0.15219700010493398,0,24,24,24,41.840666099917144,,,,,,,,,41.82457389985211,41.840666099917144,42.040672400034964,42.040672400034964,42.040672400034964,42.740655599860474,43.54066289984621,43.52432139986195,space,0.5410857999231666,0.15219700010493398,,,,,,,,002 ,001,2025-11-19_15h31.27.907,N back,,2025.1.1,59.98951386486874,2025-11-19 15h31.38.160497 +0530,
