letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0021850999910384417,0.005591300083324313,0.005591300083324313,8.954910499975085,space,8.935926399892196,None,,,,,,,,,,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
A,0,0,0,None,,,0,0,0,0,8.980051400139928,,,,,,,,,8.976016500033438,8.980051400139928,9.163119500037283,9.163119500037283,9.179751600138843,9.863130300072953,10.663137400057167,10.646779099944979,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
B,1,1,0,None,,,0,1,1,1,10.663137400057167,,,,,,,,,10.651667500147596,10.663137400057167,10.863140899920836,10.863140899920836,10.863140899920836,11.56312149995938,12.363153300015256,12.346649500075728,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
C,2,2,0,None,,,0,2,2,2,12.363153300015256,,,,,,,,,12.349071800010279,12.363153300015256,12.563068700022995,12.563068700022995,12.563068700022995,13.263157400069758,14.062887000152841,14.046622999943793,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
D,3,3,0,None,,,0,3,3,3,14.062887000152841,,,,,,,,,14.051266100024804,14.062887000152841,14.262955300044268,14.262955300044268,14.262955300044268,14.96286979992874,15.762849800055847,15.746513799997047,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
D,4,4,0,space,0.38697570003569126,0.1723138999659568,0,4,4,4,15.762849800055847,,,,,,,,,15.746725799981505,15.762849800055847,15.96285120001994,15.96285120001994,15.96285120001994,16.662899600109085,17.462884000036865,17.446514500072226,space,0.38697570003569126,0.1723138999659568,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
F,5,5,0,None,,,0,5,5,5,17.462884000036865,,,,,,,,,17.451439500087872,17.462884000036865,17.662872600136325,17.662872600136325,17.662872600136325,18.36278020008467,19.162810700014234,19.146417499985546,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
H,6,6,0,None,,,0,6,6,6,19.162810700014234,,,,,,,,,19.150914600118995,19.162810700014234,19.362810800084844,19.362810800084844,19.362810800084844,20.06279050000012,20.862782299984246,20.84642820013687,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
J,7,7,0,None,,,0,7,7,7,20.862782299984246,,,,,,,,,20.851102699991316,20.862782299984246,21.062870300142094,21.062870300142094,21.062870300142094,21.762781500117853,22.562798799946904,22.546480200020596,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
K,8,8,0,None,,,0,8,8,8,22.562798799946904,,,,,,,,,22.550936399959028,22.562798799946904,22.76272640004754,22.76272640004754,22.76272640004754,23.462692799977958,24.262790800072253,24.2464433000423,None,,,,,,003,001,2025-11-19_15h34.48.465,N back,,2025.1.1,59.97530213612386,2025-11-19 15h34.55.367340 +0530,
