letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,thanks_2.stopped,end.keys,end.rt,end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0018990000244230032,0.005135799990966916,0.005135799990966916,13.695354799972847,space,13.682442700024694,None,,,,,,,,,,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
A,0,0,0,None,,,0,0,0,0,13.71646669995971,,,,,,,,,13.713256999850273,13.71646669995971,13.90518180001527,13.90518180001527,13.921731799840927,14.605615299893543,15.405086599988863,15.388872799929231,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
B,1,1,0,None,,,0,1,1,1,15.405086599988863,,,,,,,,,15.39260429982096,15.405086599988863,15.605762199964374,15.605762199964374,15.605762199964374,16.306094500003383,17.105687099974602,17.09013699996285,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
C,2,2,0,None,,,0,2,2,2,17.105687099974602,,,,,,,,,17.09448549989611,17.105687099974602,17.306332299951464,17.306332299951464,17.306332299951464,18.006058299914002,18.80932609993033,18.78962259995751,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
D,3,3,0,None,,,0,3,3,3,18.80932609993033,,,,,,,,,18.806847299914807,18.80932609993033,19.006167099811137,19.006167099811137,19.0221955999732,19.706059399992228,20.50580169982277,20.490236699813977,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
D,4,4,0,space,0.7011684000026435,0.14742589998058975,0,4,4,4,20.50580169982277,,,,,,,,,20.490773999830708,20.50580169982277,20.706083099823445,20.706083099823445,20.706083099823445,21.405711599858478,22.20569309988059,22.188977099955082,space,0.7011684000026435,0.14742589998058975,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
F,5,5,0,None,,,0,5,5,5,22.20569309988059,,,,,,,,,22.194104199996218,22.20569309988059,22.405953699955717,22.405953699955717,22.405953699955717,23.104946000035852,23.9055578999687,23.889287099940702,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
H,6,6,0,None,,,0,6,6,6,23.9055578999687,,,,,,,,,23.89356719981879,23.9055578999687,24.105533399851993,24.105533399851993,24.105533399851993,24.806053899927065,25.60567139997147,25.589823700021952,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
J,7,7,0,None,,,0,7,7,7,25.60567139997147,,,,,,,,,25.59473289991729,25.60567139997147,25.80572639987804,25.80572639987804,25.80572639987804,26.50552250002511,27.304822399979457,27.288427599938586,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
K,8,8,0,None,,,0,8,8,8,27.304822399979457,,,,,,,,,27.29173309984617,27.304822399979457,27.50498820003122,27.50498820003122,27.50498820003122,28.204935799818486,29.005035399924964,28.988504099892452,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
