reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
32,61,9,0,0,0,l,2.307441300014034,0.1819889000034891,0,0,0,6,0.11099249997641891,,0.10780040000099689,0.11099249997641891,1.0132039000163786,1.0132039000163786,1.11462519998895,4.3947345999768,l,2.307441300014034,0.1819889000034891,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
17,73,92,1,1,0,l,3.0999399999855086,0.11862820002716035,0,1,1,33,4.406486399995629,,4.404233800014481,4.406486399995629,5.396729099971708,5.396729099971708,5.414058699971065,8.631232300016563,l,3.0999399999855086,0.11862820002716035,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
45,83,199,2,2,0,t,1.7047139999922365,0.07823400001507252,0,2,2,19,8.64674820000073,,8.64146900002379,8.64674820000073,9.646913899981882,9.646913899981882,9.646913899981882,11.430632499977946,t,1.7047139999922365,0.07823400001507252,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
55,58,85,3,3,0,t,2.246697499998845,0.15360419999342412,0,3,3,18,11.447377200005576,,11.435090099985246,11.447377200005576,12.430247100011911,12.430247100011911,12.446914699976332,14.846684699994512,t,2.246697499998845,0.15360419999342412,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
22,72,51,4,4,0,l,4.122379399952479,0.06649900000775233,0,4,4,25,14.863169400021434,,14.849211000022478,14.863169400021434,15.847196199989412,15.847196199989412,15.86380230000941,20.047819199971855,l,4.122379399952479,0.06649900000775233,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
48,92,19,5,5,0,t,1.4761426000040956,0.11460279999300838,0,5,5,98,20.06333450000966,,20.052272000000812,20.06333450000966,21.063386099995114,21.063386099995114,21.063386099995114,22.664187200018205,t,1.4761426000040956,0.11460279999300838,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
48,99,178,6,6,0,t,3.0630928999744356,0.07144780003000051,0,6,6,64,22.679943799972534,,22.668648099992424,22.679943799972534,23.66342529997928,23.66342529997928,23.680327899986878,26.813527000020258,t,3.0630928999744356,0.07144780003000051,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
1,72,95,7,7,0,l,1.70923269999912,0.09149429999524727,0,7,7,71,26.829549200017937,,26.819418400002178,26.829549200017937,27.812911899993196,27.812911899993196,27.829569199995603,29.614239600021392,l,1.70923269999912,0.09149429999524727,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
26,86,53,8,8,0,t,4.38210909999907,0.20856799994362518,0,8,8,78,29.629696700023487,,29.618023100018036,29.629696700023487,30.61343319999287,30.61343319999287,30.629758100025356,35.21397139999317,t,4.38210909999907,0.20856799994362518,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
28,97,79,9,9,0,l,1.6540512000210583,0.1793969999998808,0,9,9,20,35.229627900000196,,35.219524000014644,35.229627900000196,36.23023839999223,36.23023839999223,36.23023839999223,38.06449389999034,l,1.6540512000210583,0.1793969999998808,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
24,97,1,10,10,0,l,1.4488229000126012,0.1970609999843873,0,10,10,56,38.07962520001456,,38.069711600022856,38.07962520001456,39.07929680001689,39.07929680001689,39.07929680001689,40.73045859998092,l,1.4488229000126012,0.1970609999843873,1,001,2025-11-03_16h57.11.523,Delay Discounting,,2025.1.1,60.01813747951342,2025-11-03 16h57.17.362276 +0530,
