delay,condition,textbox.text,,,,,,
0.4,unexp,250,,,,,,
0.1,exp,200,,,,,,
0.1,unexp,150,,,,,,
0.7,unexp,250,,,,,exp,224.4332494
0.7,exp,250,,,,,unexp ,225.1758794
0.1,exp,150,,,,,,
0.1,exp,150,,,,,,
0.4,exp,250,,,,,,
0.4,exp,200,,,,,,
0.4,unexp,150,,,,,,
0.4,exp,300,,,,,,
0.4,exp,250,,,,,,
0.1,exp,200,,,,,,
0.7,exp,400,,,,,,
0.7,exp,300,,,,,,
0.7,unexp,250,,,,,,
0.1,exp,200,,,,,,
0.7,exp,400,,,,,,
0.7,unexp,350,,,,,,
0.4,unexp,300,,,,,,
0.7,exp,400,,,,,,
0.4,exp,250,,,,,,
0.4,unexp,150,,,,,,
0.4,exp,150,,,,,,
0.1,exp,100,,,,,,
0.7,exp,350,,,,,,
0.1,unexp,150,,,,,,
0.7,unexp,150,,,,,,
0.4,exp,150,,,,,,
0.1,exp,100,,,,,,
0.1,exp,100,,,,,,
0.4,exp,100,,,,,,
0.4,exp,100,,,,,,
0.7,exp,250,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,250,,,,,,
0.7,exp,250,,,,,,
0.4,unexp,150,,,,,,
0.1,unexp,100,,,,,,
0.1,exp,100,,,,,,
0.7,exp,150,,,,,,
0.7,unexp,200,,,,,,
0.4,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.1,exp,120,,,,,,
0.4,exp,100,,,,,,
0.4,exp,100,,,,,,
0.1,exp,100,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,100,,,,,,
0.4,exp,150,,,,,,
0.4,exp,100,,,,,,
0.1,unexp,50,,,,,,
0.1,exp,150,,,,,,
0.7,exp,100,,,,,,
0.4,exp,150,,,,,,
0.4,unexp,100,,,,,,
0.7,exp,250,,,,,,
0.1,exp,100,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,100,,,,,,
0.7,exp,250,,,,,,
0.4,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.7,unexp,150,,,,,,
0.7,exp,100,,,,,,
0.7,unexp,350,,,,,,
0.4,exp,150,,,,,,
0.1,exp,250,,,,,,
0.7,exp,400,,,,,,
0.7,exp,350,,,,,,
0.1,unexp,150,,,,,,
0.4,exp,150,,,,,,
0.1,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.1,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.4,exp,100,,,,,,
0.1,exp,100,,,,,,
0.4,exp,80,,,,,,
0.7,exp,250,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,100,,,,,,
0.7,unexp,250,,,,,,
0.7,exp,250,,,,,,
0.1,exp,250,,,,,,
0.1,unexp,200,,,,,,
0.4,exp,150,,,,,,
0.7,exp,150,,,,,,
0.4,unexp,150,,,,,,
0.1,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.4,exp,100,,,,,,
0.4,exp,150,,,,,,
0.7,exp,100,,,,,,
0.1,exp,150,,,,,,
0.7,exp,250,,,,,,
0.4,exp,150,,,,,,
0.1,exp,150,,,,,,
0.1,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,exp,100,,,,,,
0.7,unexp,100,,,,,,
0.4,unexp,100,,,,,,
0.4,exp,150,,,,,,
0.1,unexp,150,,,,,,
0.4,unexp,100,,,,,,
0.7,unexp,150,,,,,,
0.7,exp,150,,,,,,
0.4,exp,100,,,,,,
0.1,exp,150,,,,,,
0.7,unexp,350,,,,,,
0.1,exp,150,,,,,,
0.4,exp,150,,,,,,
0.7,unexp,150,,,,,,
0.4,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.4,exp,100,,,,,,
0.1,unexp,100,,,,,,
0.4,exp,150,,,,,,
0.7,exp,350,,,,,,
0.7,exp,250,,,,,,
0.4,unexp,150,,,,,,
0.7,exp,150,,,,,,
0.1,exp,150,,,,,,
0.4,exp,250,,,,,,
0.4,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,exp,150,,,,,,
0.7,unexp,100,,,,,,
0.1,unexp,100,,,,,,
0.1,exp,100,,,,,,
0.1,exp,100,,,,,,
0.7,exp,350,,,,,,
0.4,unexp,100,,,,,,
0.7,exp,600,,,,,,
0.4,exp,150,,,,,,
0.7,exp,550,,,,,,
0.7,unexp,600,,,,,,
0.1,exp,100,,,,,,
0.4,unexp,250,,,,,,
0.4,exp,250,,,,,,
0.1,exp,250,,,,,,
0.4,exp,150,,,,,,
0.1,exp,600,,,,,,
0.7,exp,650,,,,,,
0.7,exp,750,,,,,,
0.7,exp,250,,,,,,
0.1,exp,100,,,,,,
0.4,exp,250,,,,,,
0.1,exp,100,,,,,,
0.4,unexp,150,,,,,,
0.4,exp,360,,,,,,
0.1,unexp,520,,,,,,
0.7,unexp,800,,,,,,
0.4,unexp,360,,,,,,
0.7,unexp,850,,,,,,
0.4,unexp,100,,,,,,
0.4,exp,150,,,,,,
0.7,exp,620,,,,,,
0.1,exp,250,,,,,,
0.4,exp,850,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,150,,,,,,
0.1,exp,150,,,,,,
0.7,exp,500,,,,,,
0.1,unexp,100,,,,,,
0.4,unexp,150,,,,,,
0.4,exp,150,,,,,,
0.7,exp,600,,,,,,
0.7,unexp,520,,,,,,
0.1,exp,450,,,,,,
0.4,exp,100,,,,,,
0.7,exp,650,,,,,,
0.4,unexp,250,,,,,,
0.7,unexp,250,,,,,,
0.4,unexp,250,,,,,,
0.4,exp,100,,,,,,
0.4,exp,150,,,,,,
0.7,unexp,650,,,,,,
0.1,unexp,100,,,,,,
0.7,exp,350,,,,,,
0.7,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,exp,150,,,,,,
0.1,exp,150,,,,,,
0.4,exp,150,,,,,,
0.1,exp,100,,,,,,
0.1,exp,100,,,,,,
0.4,exp,150,,,,,,
0.7,exp,150,,,,,,
0.1,exp,100,,,,,,
0.4,exp,250,,,,,,
0.7,exp,350,,,,,,
0.1,exp,100,,,,,,
0.7,exp,250,,,,,,
0.4,unexp,250,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,400,,,,,,
0.4,exp,500,,,,,,
0.7,unexp,500,,,,,,
0.4,unexp,250,,,,,,
0.4,exp,250,,,,,,
0.1,exp,210,,,,,,
0.1,unexp,100,,,,,,
0.4,exp,250,,,,,,
0.1,exp,100,,,,,,
0.1,unexp,100,,,,,,
0.7,exp,120,,,,,,
0.4,exp,100,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,250,,,,,,
0.7,exp,100,,,,,,
0.4,unexp,100,,,,,,
0.7,unexp,500,,,,,,
0.7,exp,350,,,,,,
0.4,exp,250,,,,,,
0.1,exp,140,,,,,,
0.4,exp,300,,,,,,
0.4,unexp,350,,,,,,
0.1,exp,250,,,,,,
0.4,unexp,100,,,,,,
0.1,exp,120,,,,,,
0.1,unexp,120,,,,,,
0.1,exp,100,,,,,,
0.7,unexp,150,,,,,,
