study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Chart,0,0,0,1,1.4597264000003634,,,,,,,,,,,,0,0,0,6,,,,,0.02311830000144255,,0.013813400000799447,0.02311830000144255,0.02311830000144255,1.4897006999999576,1,1.4597264000003634,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
cushion,1,1,0,1,0.18040110000038112,,,,,,,,,,,,0,1,1,1,,,,,1.5050146000012319,,1.494653499999913,1.5050146000012319,1.5050146000012319,1.6893786000000546,1,0.18040110000038112,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
Laptop ,2,2,0,1,0.17853110000032757,,,,,,,,,,,,0,2,2,5,,,,,1.7050673000012466,,1.6949509000005492,1.7050673000012466,1.7050673000012466,1.8890822000012122,1,0.17853110000032757,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
book,3,3,0,1,0.16594379999878583,,,,,,,,,,,,0,3,3,0,,,,,1.904994300000908,,1.8916079999999056,1.904994300000908,1.904994300000908,2.0732079000008525,1,0.16594379999878583,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
Pastry,4,4,0,1,0.17905099999916274,,,,,,,,,,,,0,4,4,9,,,,,2.0888419000002614,,2.0790714000013395,2.0888419000002614,2.0888419000002614,2.2731941000001825,1,0.17905099999916274,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
marble,5,5,0,1,0.1955346999984613,,,,,,,,,,,,0,5,5,3,,,,,2.28875970000081,,2.2779375999998592,2.28875970000081,2.28875970000081,2.489809700000478,1,0.1955346999984613,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
board,6,6,0,1,0.17898839999907068,,,,,,,,,,,,0,6,6,4,,,,,2.505256200000076,,2.495077300000048,2.505256200000076,2.505256200000076,2.690476600000693,1,0.17898839999907068,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
Police,7,7,0,1,0.19657489999917743,,,,,,,,,,,,0,7,7,12,,,,,2.705704699999842,,2.693640999999843,2.705704699999842,2.705704699999842,2.906610800000635,1,0.19657489999917743,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
Keys,8,8,0,1,0.1636261999992712,,,,,,,,,,,,0,8,8,13,,,,,2.9221379999999044,,2.9103716000008717,2.9221379999999044,2.9221379999999044,3.089585100000477,1,0.1636261999992712,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
Poster ,9,9,0,1,0.16570130000036443,,,,,,,,,,,,0,9,9,14,,,,,3.1054584000012255,,3.091975100000127,3.1054584000012255,3.1054584000012255,3.2731264000012743,1,0.16570130000036443,,,,,,,,,,,,,,,,2,001,2025-10-16_10h37.19.402,word priming,,2025.1.1,60.073806678782525,2025-10-16 10h37.25.111980 +0530,
