reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
6,56,100,0,0,0,t,14.6387812,0.1240312,0,0,0,31,0.164795,,0.1615531,0.164795,1.0161464,1.0161464,1.1655121,15.7836565,t,14.6387812,0.1240312,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
50,55,8,1,1,0,t,4.674448,0.1116816,0,1,1,87,15.7993455,,15.7929161,15.7993455,16.7820434,16.7820434,16.799533,21.5831858,l,4.674448,0.1116816,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
95,99,33,2,2,0,t,3.2125176,0.1077699,0,2,2,13,21.5992737,,21.5909792,21.5992737,22.5827251,22.5827251,22.5994284,25.9155824,t,3.2125176,0.1077699,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
39,47,4,3,3,0,l,4.8703915,0.1447353,0,3,3,12,25.9316369,,25.9208104,25.9316369,26.9158519,26.9158519,26.9321897,31.9326722,l,4.8703915,0.1447353,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
61,64,18,4,4,0,t,2.4621483,0.1560696,0,4,4,4,31.9487417,,31.9386712,31.9487417,32.9325365,32.9325365,32.9491608,35.5660841,t,2.4621483,0.1560696,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
45,83,199,5,5,0,t,2.7788312,0.0902474,0,5,5,19,35.5823591,,35.5710587,35.5823591,36.5651625,36.5651625,36.5822827,39.4498053,t,2.7788312,0.0902474,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
44,93,94,6,6,0,t,2.6522409,0.1028125,0,6,6,73,39.465475,,39.4543667,39.465475,40.4490559,40.4490559,40.4655036,43.2167245,t,2.6522409,0.1028125,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
36,82,147,7,7,0,t,3.043706,0.1005278,0,7,7,82,43.2320334,,43.2248371,43.2320334,44.232136,44.232136,44.232136,47.382769,t,3.043706,0.1005278,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
95,97,89,8,8,0,t,9.7742933,0.1097139,0,8,8,76,47.3986945,,47.3869728,47.3986945,48.3821453,48.3821453,48.3988793,58.2669795,t,9.7742933,0.1097139,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
23,27,39,9,9,0,l,40.8813183,0.0837529,0,9,9,43,58.2817956,,58.271496,58.2817956,59.2815641,59.2815641,59.2815641,100.2482322,l,40.8813183,0.0837529,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
51,96,150,10,10,0,t,8.8319414,0.0545247,0,10,10,34,100.2639322,,100.252669,100.2639322,101.2643725,101.2643725,101.2643725,110.1652477,t,8.8319414,0.0545247,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
92,93,80,11,11,0,t,3.7134403,0.0689993,0,11,11,5,110.1803521,,110.1694456,110.1803521,111.1803514,111.1803514,111.1803514,114.9650031,t,3.7134403,0.0689993,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
42,46,67,12,12,0,t,4.3772134,0.0799949,0,12,12,62,114.9805383,,114.9706644,114.9805383,115.9806685,115.9806685,115.9806685,120.44784,t,4.3772134,0.0799949,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
55,58,85,13,13,0,l,4.718968,0.0634073,0,13,13,18,120.4634498,,120.4528172,120.4634498,121.4630027,121.4630027,121.4630027,126.2480327,l,4.718968,0.0634073,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
5,98,109,14,14,0,l,5.29927,0.0620559,0,14,14,24,126.2635799,,126.2538649,126.2635799,127.2637041,127.2637041,127.2637041,132.6301708,l,5.29927,0.0620559,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
97,100,27,15,15,0,l,2.691306,0.0918862,0,15,15,17,132.6463368,,132.632656,132.6463368,133.6296745,133.6296745,133.6470844,136.4145128,l,2.691306,0.0918862,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
1,50,55,16,16,0,l,3.829542,0.0614696,0,16,16,3,136.4300799,,136.4191779,136.4300799,137.4135649,137.4135649,137.4302817,141.3151678,l,3.829542,0.0614696,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
54,78,86,17,17,0,t,3.1993355,0.1163741,0,17,17,37,141.3298009,,141.3198812,141.3298009,142.3300527,142.3300527,142.3300527,145.6474577,t,3.1993355,0.1163741,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
78,89,168,18,18,0,t,5.3407335,0.0751497,0,18,18,99,145.6630813,,145.6516278,145.6630813,146.6634593,146.6634593,146.6634593,152.0808837,t,5.3407335,0.0751497,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
69,88,29,19,19,0,l,1.1922998,0.0522945,0,19,19,30,152.0962787,,152.085821,152.0962787,153.0956418,153.0956418,153.0956418,154.3470371,l,1.1922998,0.0522945,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
88,99,172,20,20,0,t,5.8349094,0.0670712,0,20,20,26,154.3628977,,154.3515606,154.3628977,155.3460811,155.3460811,155.3633784,161.2490087,t,5.8349094,0.0670712,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
69,88,84,21,21,0,l,2.0417239,0.0664863,0,21,21,1,161.2627818,,161.254967,161.2627818,162.2631116,162.2631116,162.2631116,164.3814478,l,2.0417239,0.0664863,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
2,7,7,22,22,0,t,4.0353551,0.0675474,0,22,22,41,164.3965729,,164.3879498,164.3965729,165.3960912,165.3960912,165.3960912,169.5130359,t,4.0353551,0.0675474,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
40,77,158,23,23,0,t,7.8715952,0.077217,0,23,23,89,169.5291729,,169.5165037,169.5291729,170.5132378,170.5132378,170.5294678,178.4636505,t,7.8715952,0.077217,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
28,97,79,24,24,0,l,1.9016075,0.0588231,0,24,24,20,178.4787766,,178.4695198,178.4787766,179.4620427,179.4620427,179.4785038,181.4301977,l,1.9016075,0.0588231,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
1,53,75,25,25,0,l,2.6495455,0.0364311,0,25,25,80,181.4455457,,181.4360498,181.4455457,182.4460981,182.4460981,182.4460981,185.1467935,l,2.6495455,0.0364311,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
49,91,96,26,26,0,l,2.6340787,0.0681256,0,26,26,91,185.1619105,,185.1525502,185.1619105,186.1459232,186.1459232,186.1626596,188.8645487,l,2.6340787,0.0681256,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
88,93,49,27,27,0,l,2.6273429,0.0592992,0,27,27,2,188.8787849,,188.872058,188.8787849,189.8789784,189.8789784,189.8789784,192.5800841,l,2.6273429,0.0592992,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
82,95,10,28,28,0,l,1.8545519,0.059434,0,28,28,35,192.5956105,,192.5855018,192.5956105,193.5791185,193.5791185,193.5958485,195.4958083,l,1.8545519,0.059434,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
45,49,38,29,29,0,l,2.2647149,0.0412169,0,29,29,39,195.5117609,,195.5001212,195.5117609,196.4959383,196.4959383,196.5121646,198.8117578,l,2.2647149,0.0412169,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
24,73,77,30,30,0,t,2.4473283,0.0856974,0,30,30,81,198.8279996,,198.8154341,198.8279996,199.8122324,199.8122324,199.8288959,202.3459646,t,2.4473283,0.0856974,3,1,2025-11-06_12h16.44.072,Delay Discounting,,2025.1.1,60.00996163,2025-11-06 12h16.50.203431 +0530
