thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.19907407407407407)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.4836369000840932],['target'],0,0,0,0,0.029458099976181984,,10,0.020439699990674853,0.029458099976181984,0.029458099976181984,0.02045769989490509,1.5042127999477088,[np.float64(-0.19907407407407407)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.4836369000840932],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
1,0,1,[np.float64(0.05925925925925926)],[np.float64(0.1648148148148148)],[1],[0],[0],[1.0514330000150949],['target'],1,0,1,0,1.5203048998955637,,5,1.5162930998485535,1.5203048998955637,1.5203048998955637,0.011774200014770031,2.5677825999446213,[np.float64(0.05925925925925926)],[np.float64(0.1648148148148148)],[1],[0],[0],[1.0514330000150949],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
2,0,2,[np.float64(0.39166666666666666)],[np.float64(-0.09722222222222222)],[1],[0],[0],[1.3124988998752087],['target'],2,0,2,0,2.5812015999108553,,5,2.5747174997814,2.5812015999108553,2.5812015999108553,0.006840999936684966,3.8873176998458803,[np.float64(0.39166666666666666)],[np.float64(-0.09722222222222222)],[1],[0],[0],[1.3124988998752087],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
3,0,3,[np.float64(-0.26851851851851855)],[np.float64(-0.025)],[1],[0],[0],[1.2684156000614166],[None],3,0,3,0,3.9082270998042077,,10,3.902348699979484,3.9082270998042077,3.9082270998042077,0.01486500003375113,5.170893599977717,[np.float64(-0.26851851851851855)],[np.float64(-0.025)],[1],[0],[0],[1.2684156000614166],[None],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
4,0,4,[np.float64(0.2601851851851852)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.5397900000680238],['target'],4,0,4,0,5.184542999835685,,5,5.18041479983367,5.184542999835685,5.184542999835685,0.009295300114899874,6.720325300004333,[np.float64(0.2601851851851852)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.5397900000680238],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
5,0,5,[np.float64(-0.41574074074074074)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.206416199915111],['target'],5,0,5,0,6.734003599965945,,5,6.729693999979645,6.734003599965945,6.734003599965945,0.009201700100675225,7.93619369994849,[np.float64(-0.41574074074074074)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.206416199915111],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
6,0,6,[np.float64(-0.037037037037037035)],[np.float64(0.4842592592592593)],[1],[0],[0],[1.2243719999678433],['target'],6,0,6,0,7.949629799928516,,5,7.94476559991017,7.949629799928516,7.949629799928516,0.00844080001115799,9.169250899925828,[np.float64(-0.037037037037037035)],[np.float64(0.4842592592592593)],[1],[0],[0],[1.2243719999678433],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
7,0,7,[np.float64(0.09351851851851851)],[np.float64(-0.04537037037037037)],[1],[0],[0],[1.1922530001029372],['target'],7,0,7,0,9.182537799933925,,5,9.178001399850473,9.182537799933925,9.182537799933925,0.008585999952629209,10.370386499911547,[np.float64(0.09351851851851851)],[np.float64(-0.04537037037037037)],[1],[0],[0],[1.1922530001029372],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
8,0,8,[np.float64(0.30277777777777776)],[np.float64(0.07592592592592592)],[1],[0],[0],[1.3019856000319123],['target'],8,0,8,0,10.384727199794725,,5,10.380361799849197,10.384727199794725,10.384727199794725,0.009762299945577979,11.682461299933493,[np.float64(0.30277777777777776)],[np.float64(0.07592592592592592)],[1],[0],[0],[1.3019856000319123],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
9,0,9,[np.float64(0.04722222222222222)],[np.float64(0.4787037037037037)],[1],[0],[0],[1.5529100000858307],['target'],9,0,9,0,11.704239499988034,,10,11.69861530000344,11.704239499988034,11.704239499988034,0.01595870009623468,13.251606999896467,[np.float64(0.04722222222222222)],[np.float64(0.4787037037037037)],[1],[0],[0],[1.5529100000858307],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
