study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,0,0,0,1,1.4008104000004096,,,,,,,,,,,,0,0,0,4,,,,,0.024305199998707394,,0.016279699999358854,0.024305199998707394,0.024305199998707394,1.4308774000000994,1,1.4008104000004096,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
phone,1,1,0,1,0.19611580000128015,,,,,,,,,,,,0,1,1,2,,,,,1.446871199999805,,1.436022599998978,1.446871199999805,1.446871199999805,1.6493720999988,1,0.19611580000128015,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
Laptop ,2,2,0,1,0.14470190000065486,,,,,,,,,,,,0,2,2,5,,,,,1.6635960999992676,,1.6543204999998125,1.6635960999992676,1.6635960999992676,1.8141405999995186,1,0.14470190000065486,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
book,3,3,0,1,0.09934969999994792,,,,,,,,,,,,0,3,3,0,,,,,1.8302594999986468,,1.816010799999276,1.8302594999986468,1.8302594999986468,1.930938800000149,1,0.09934969999994792,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
Police,4,4,0,1,0.11236490000010235,,,,,,,,,,,,0,4,4,12,,,,,1.9469040999993013,,1.936041999999361,1.9469040999993013,1.9469040999993013,2.0648584999999002,1,0.11236490000010235,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
Poster ,5,5,0,1,0.5312544999997044,,,,,,,,,,,,0,5,5,14,,,,,2.0804984999995213,,2.067814099998941,2.0804984999995213,2.0804984999995213,2.615545900000143,1,0.5312544999997044,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
mouse,6,6,0,1,0.11414639999929932,,,,,,,,,,,,0,6,6,8,,,,,2.6308166999988316,,2.6187422999992123,2.6308166999988316,2.6308166999988316,2.749342399998568,1,0.11414639999929932,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
Keys,7,7,0,1,0.11321510000016133,,,,,,,,,,,,0,7,7,13,,,,,2.764926199999536,,2.754169300000285,2.764926199999536,2.764926199999536,2.882821100000001,1,0.11321510000016133,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
cushion,8,8,0,1,0.11290160000135074,,,,,,,,,,,,0,8,8,1,,,,,2.897882199999003,,2.8859912999996595,2.897882199999003,2.897882199999003,3.015497399999731,1,0.11290160000135074,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
Cruise,9,9,0,1,0.08176240000102553,,,,,,,,,,,,0,9,9,11,,,,,3.03071540000019,,3.0180944000003365,3.03071540000019,3.03071540000019,3.1153494999998657,1,0.08176240000102553,,,,,,,,,,,,,,,4,001,2025-10-16_10h39.25.755,word priming,,2025.1.1,60.056489133619756,2025-10-16 10h41.23.566502 +0530,
