pos,corr_resp,thisN,thisTrialN,thisRepN,kev_resp.kevs,kev_resp.corr,kev_resp.rt,kev_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,kev_resp.started,trial.stopped,trials.kev_resp.kevs,trials.kev_resp.corr,trials.kev_resp.rt,trials.kev_resp.duration,trials_2.kev_resp.kevs,trials_2.kev_resp.corr,trials_2.kev_resp.rt,trials_2.kev_resp.duration,participant,session,date,expName,expVersion,psvchopvVersion,frameRate,expStart
-50,x,0,0,0,v,0,0.9651134,None,0,0,0,0,,,,,0.0288113,,0.0237734,0.0288113,1.0133145,1.0133145,1.0133145,1.0133145,1.0308091,2.0131365,2.0131365,3.0185125,v,0,0.9651134,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
150,v,1,1,0,z,0,1.8911916,None,0,1,1,1,,,,,3.0286093,,3.0189387,3.0286093,4.0300712,4.0300712,4.0300712,4.0300712,4.0300712,5.0305923,5.0305923,6.9350379,z,0,1.8911916,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
50,c,2,2,0,c,1,1.0418602,None,0,2,2,2,,,,,6.9488016,,6.9353705,6.9488016,7.934126,7.934126,7.934126,7.934126,7.9504105,8.9484505,8.9484505,10.0024518,c,1,1.0418602,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
-150,z,3,3,0,x,0,0.8288844,None,0,3,3,3,,,,,10.015153,,10.0030887,10.015153,11.0293192,11.0293192,11.0293192,11.0293192,11.0293192,12.035243,12.035243,12.8687295,x,0,0.8288844,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
-50,x,4,0,1,v,0,0.7225162,None,1,0,4,0,,,,,12.8813908,,12.8694075,12.8813908,13.8812217,13.8812217,13.8812217,13.8812217,13.8812217,14.8789488,14.8789488,15.6147329,v,0,0.7225162,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
150,v,5,1,1,z,0,0.6835596,None,1,1,5,1,,,,,15.6293045,,15.6150022,15.6293045,16.6284599,16.6284599,16.6284599,16.6284599,16.6284599,17.6293055,17.6293055,18.3154536,z,0,0.6835596,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
50,c,6,2,1,c,1,0.9499691,None,1,2,6,2,,,,,18.3293544,,18.3158357,18.3293544,19.3285521,19.3285521,19.3285521,19.3285521,19.3285521,20.3292473,20.3292473,21.2824257,c,1,0.9499691,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
-150,z,7,3,1,x,0,0.7897451,None,1,3,7,3,,,,,21.2962092,,21.2827261,21.2962092,22.2951609,22.2951609,22.2951609,22.2951609,22.3113939,23.2950356,23.2950356,24.0974091,x,0,0.7897451,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
-50,x,8,0,2,v,0,0.8100486,None,2,0,8,0,,,,,24.1123161,,24.0976115,24.1123161,25.1131035,25.1131035,25.1131035,25.1131035,25.1131035,26.1129245,26.1129245,26.9303796,v,0,0.8100486,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
150,v,9,1,2,z,0,0.5191995,None,2,1,9,1,,,,,26.9463692,,26.930596,26.9463692,27.9301003,27.9301003,27.9301003,27.9301003,27.9473693,28.9303636,28.9303636,29.4512519,z,0,0.5191995,None,,,,,5,1,2025-10-04_01h08.51.528,Motor Sequence,,2025.1.1,60.116819,2025-10-04 01h09.01.191448 +0530
