reward_today,future_reward,delay
20,47,17
69,88,84
88,93,49
1,50,55
61,64,18
92,93,80
32,61,9
21,27,26
45,48,62
58,66,64
54,65,58
5,9,23
39,47,4
95,99,33
14,50,48
99,100,98
35,83,88
97,100,27
55,58,85
45,83,199
28,97,79
49,61,50
84,97,60
80,86,6
5,98,109
22,72,51
88,99,172
76,96,132
70,92,15
63,88,20
69,88,29
6,56,100
55,56,93
17,73,92
51,96,150
82,95,10
41,43,141
54,78,86
45,46,44
45,49,38
96,98,57
2,7,7
67,69,81
23,27,39
73,89,30
31,63,92
52,98,36
9,39,173
74,94,21
71,89,66
28,41,122
58,88,70
77,86,40
64,75,105
17,50,134
48,98,41
24,97,1
39,84,104
30,75,13
74,88,82
63,68,99
72,99,119
42,46,67
28,83,16
48,99,178
25,91,25
75,100,37
43,76,83
16,27,56
21,44,87
25,75,65
1,72,95
91,95,72
44,93,94
58,100,73
62,75,3
95,97,89
6,36,24
26,86,53
51,86,34
1,53,75
24,73,77
36,82,147
86,91,52
32,66,180
38,63,76
60,61,91
50,55,8
17,79,11
40,77,158
96,100,47
49,91,96
7,17,59
4,29,176
4,99,155
2,36,5
40,61,43
80,94,42
48,92,19
78,89,168
