stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,key_resp.started,grating.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.030972100037615746,,0.019501200004015118,0.030972100037615746,0.06460139999398962,0.5853562999982387,0.5962814000085928,0.897892800043337,3.9195412000408396,left,-10.0,1,1,3.8151402000221424,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
1,2,8.0,3.929816199990455,,3.919850400008727,3.929816199990455,3.981250300013926,4.431348000012804,4.431348000012804,4.731277599988971,5.0684335000114515,left,-8.0,1,1,1.079093499982264,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
2,2,6.0,5.0816518000210635,,5.068671600020025,5.0816518000210635,5.131185800011735,5.58143940003356,5.58143940003356,5.88116779999109,6.035481900034938,left,-6.0,1,1,0.8929587000166066,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
3,2,4.0,6.04775269998936,,6.03571990004275,6.04775269998936,6.09781310003018,6.547898599994369,6.547898599994369,6.847860999987461,7.085434600012377,left,-4.0,1,1,0.9752524999785237,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
4,2,2.0,7.0983435999951325,,7.085671100008767,7.0983435999951325,7.147464300040156,7.597657000005711,7.597657000005711,7.897608800034504,8.201826000004075,right,2.0,1,1,1.0427558000083081,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
5,1,1.0,8.214642800041474,,8.202063700009603,8.214642800041474,8.26454659999581,8.714571200020146,8.714571200020146,9.014304400014225,9.588985800044611,left,-1.0,0,0,1.3181500000064261,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
6,1,2.0,9.597760000033304,,9.589222500042524,9.597760000033304,9.647800500039011,10.097956800018437,10.097956800018437,10.39809430000605,10.671113700023852,right,2.0,1,1,1.0148536000051536,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
7,1,2.0,10.681251500034705,,10.671368799987249,10.681251500034705,10.730772100039758,11.181082700029947,11.181082700029947,11.481489600031637,11.637365800037514,right,2.0,1,1,0.9035416999831796,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
8,1,2.0,11.647864900005516,,11.637620900000911,11.647864900005516,11.698074900021311,12.14787190000061,12.14787190000061,12.450162700028159,12.736365800024942,left,-2.0,1,1,1.032384899968747,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
9,1,1.0,12.747592800005805,,12.736614599998575,12.747592800005805,12.79741150001064,13.247723900014535,13.247723900014535,13.547717900015414,13.968584900023416,left,-1.0,1,1,1.1571659999899566,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
10,1,1.0,13.98090740002226,,13.968821400019806,13.98090740002226,14.031094600039069,14.481196300010197,14.481196300010197,14.781259300012607,14.906182900012936,right,1.0,1,1,0.8677459000027739,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
11,0.5,1.0,14.914287300023716,,14.906419300008565,14.914287300023716,14.96464780002134,15.41443220002111,15.41443220002111,15.714553700003307,15.971531499992125,left,-1.0,0,0,1.0051097000250593,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
12,0.5,1.5,15.981199500034563,,15.971776399994269,15.981199500034563,16.03095010004472,16.481344300031196,16.481344300031196,16.78176030004397,17.068766400043387,right,1.5,1,1,1.0256134999799542,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
13,0.5,1.5,17.081271000031848,,17.069002100033686,17.081271000031848,17.131070000003092,17.581100000010338,17.581100000010338,17.881019400025252,17.985359300044365,left,-1.5,1,1,0.8415812999592163,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
14,0.5,1.5,17.997857100039255,,17.985588999988977,17.997857100039255,18.047599599987734,18.49792679998791,18.49792679998791,18.798127299989574,19.088457000034396,left,-1.5,1,1,1.0348462999681942,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
15,0.5,1.0,19.09791440004483,,19.088698600011412,19.09791440004483,19.147936500026844,19.597908700001426,19.597908700001426,19.898382000043057,20.085428200021852,right,1.0,1,1,0.9239418999641202,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
16,0.5,1.0,20.09732310002437,,20.085669099993538,20.09732310002437,20.151302599988412,20.597836500033736,20.597836500033736,20.8998499000445,20.970283600036055,left,-1.0,1,1,0.8127336000325158,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
17,0.5,1.0,20.98110929998802,,20.970520100032445,20.98110929998802,21.031503700010944,21.481285399990156,21.481285399990156,21.780950899992604,22.172991500003263,left,-1.0,1,1,1.1308790000039153,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
18,0.5,1.0,22.181311000022106,,22.17322769999737,22.181311000022106,22.231030100025237,22.681018800009042,22.681018800009042,,22.951576200022828,right,1.0,1,1,0.7132836999953724,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
19,0.5,1.0,22.96426929999143,,22.95182570000179,22.96426929999143,23.0148434000439,23.464821800007485,23.464821800007485,23.76485550001962,23.834829900006298,left,-1.0,1,1,0.810688300000038,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
20,0.5,1.0,23.848183800000697,,23.835086500039324,23.848183800000697,23.89727260003565,24.348081000032835,24.348081000032835,,24.619700400042348,right,1.0,1,1,0.720030999975279,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
21,0.5,1.0,24.630957500019576,,24.61993290000828,24.630957500019576,24.680824500042945,25.131601200031582,25.131601200031582,25.43130390002625,25.43646759999683,left,-1.0,1,1,0.7547801000182517,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
22,0.5,1.0,25.44735530001344,,25.43670530000236,25.44735530001344,25.5018380000256,25.947713600005955,25.947713600005955,,26.187741700035986,right,1.0,1,1,0.6799370999797247,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
23,0.5,1.0,26.19730709999567,,26.187970000028145,26.19730709999567,26.247186699998565,26.697916500037536,26.697916500037536,26.99764650000725,27.001733599987347,right,1.0,0,0,0.7454485000343993,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
24,0.5,1.5,27.015477000037208,,27.001977500040084,27.015477000037208,27.064574200019706,27.51823590003187,27.51823590003187,,27.753341200004797,right,1.5,1,1,0.6876462000072934,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
25,0.5,1.5,27.76441609999165,,27.753568199987058,27.76441609999165,27.81485750002321,28.264565900026355,28.264565900026355,28.564636400027666,28.55324700003257,right,1.5,0,0,0.7334235000307672,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
26,0.5,2.0,28.564636400027666,,28.55347540002549,28.564636400027666,28.614376300014555,29.064500500040594,29.064500500040594,,29.339623000007123,left,-2.0,0,0,0.7152008999837562,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
27,0.5,2.5,29.347564800002147,,29.339858399995137,29.347564800002147,29.39844230003655,29.84820310003124,29.84820310003124,30.147746600036044,30.253267600026447,left,-2.5,1,1,0.8522081999690272,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
28,0.5,2.5,30.264760599995498,,30.253495300014038,30.264760599995498,30.315104500041343,30.764564400014933,30.764564400014933,31.064609199995175,31.14964570000302,left,-2.5,1,1,0.8291823000181466,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
29,0.5,2.5,31.1638382000383,,31.149764500034507,31.1638382000383,31.215060500020627,31.664989900018554,31.664989900018554,31.963394300022628,32.08549080003286,left,-2.5,1,1,0.8627749999868684,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
30,0.5,2.0,32.09839800000191,,32.08565349999117,32.09839800000191,32.146529000019655,32.59825620002812,32.59825620002812,32.897869000036735,33.033247000013944,left,-2.0,1,1,0.8856474999920465,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
31,0.5,2.0,33.04757960001007,,33.033399100007955,33.04757960001007,33.09796790004475,33.546394300006796,33.546394300006796,33.84749559999909,34.08275290002348,right,2.0,1,1,0.9727007999899797,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
32,0.5,2.0,34.098294800031,,34.0829161000438,34.098294800031,34.131802699994296,34.597756600007415,34.61460450000595,34.898191899992526,35.05038440000499,right,2.0,1,1,0.9093070000526495,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
33,0.5,1.5,35.065186300023925,,35.05055770004401,35.065186300023925,35.11542859999463,35.56408400001237,35.56408400001237,35.8641630000202,35.999840900010895,right,1.5,1,1,0.8726388000068255,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
34,0.5,1.5,36.01458379998803,,36.000004500034265,36.01458379998803,36.065548999991734,36.51343990000896,36.51343990000896,36.81465820001904,36.91617460001726,right,1.5,1,1,0.8399338999879546,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
35,0.5,1.5,36.92975910002133,,36.916290100023616,36.92975910002133,36.98007769999094,37.43071730004158,37.43071730004158,37.73132680001436,37.91504390002228,left,-1.5,1,1,0.9265280999825336,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
36,0.5,1.0,37.93228489998728,,37.91515570000047,37.93228489998728,37.98078809998697,38.41405319998739,38.44789860001765,38.71352160000242,38.69941760000074,left,-1.0,0,0,0.7158456000033766,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
37,0.5,1.5,38.71352160000242,,38.699534100014716,38.71352160000242,38.76390349998837,39.2138707000413,39.2138707000413,39.513621799997054,39.64857950003352,left,-1.5,1,1,0.8720013999845833,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
38,0.5,1.5,39.66306839999743,,39.64869619999081,39.66306839999743,39.71343850000994,40.16370110004209,40.16370110004209,40.463519699987955,40.49971890001325,left,-1.5,0,0,0.7740963000105694,pilot,001,2025-09-03_18h43.08.764,Staircase Exoeriment,,2025.1.1,59.38940564631458,2025-09-03 18h43.16.524763 +0530,
